ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,National Code,Example 1,Example 2,Year,Season,Sport,Event,Medal
289,Abdul Haji Abdul Latheef,MALE,17,Under 18,168,54,MDV,4,6,1988,Summer,Athletics,Athletics Men's Marathon,Not Registered
290,Fatima Abdul Majeed Hameed Al-Kirashi,Female,14,Under 18,NULL,NULL,BRN,4,6,2000,Summer,Swimming,Swimming Women's 50 metres Freestyle,Not Registered
291,Majed Ahmed Abdul Mohamed,MALE,26,25-30,172,70,KSA,4,6,1984,Summer,Football,Football Men's Football,Not Registered
292,Firouz Abdul Mohammadian,MALE,34,Over 30,178,74,IRI,4,6,1976,Summer,Water Polo,Water Polo Men's Water Polo,Not Registered
293,Hussam Abdul Rahman,MALE,30,25-30,175,80,JOR,4,6,1984,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Not Registered
294,Mohamed Ghulom Abdul Rahman,MALE,NULL,NULL,175,85,BRN,4,6,1984,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Not Registered
295,Suleman Abdul Rahman,MALE,29,25-30,174,55,ETH,4,6,1972,Summer,Cycling,"Cycling Men's Road Race, Individual",Not Registered
296,Zambrose Abdul Rahman,MALE,24,18-25,173,64,MAS,4,6,1968,Summer,Athletics,Athletics Men's 400 metres Hurdles,Not Registered
297,Lala Abdul Rashid,MALE,38,Over 30,169,91,PAK,4,6,1960,Summer,Hockey,Hockey Men's Hockey,Gold
298,Muhammad Abdul Rashid,MALE,23,18-25,181,72,PAK,4,6,1964,Summer,Hockey,Hockey Men's Hockey,Silver
299,Dana Abdul Razak (Hussain-),Female,22,18-25,163,56,IRQ,4,6,2008,Summer,Athletics,Athletics Women's 100 metres,Not Registered
299,Dana Abdul Razak (Hussain-),Female,26,25-30,163,56,IRQ,4,6,2012,Summer,Athletics,Athletics Women's 100 metres,Not Registered
300,A. Abdul Razzak,MALE,NULL,NULL,178,70,IRQ,4,6,1960,Summer,Athletics,Athletics Men's Long Jump,Not Registered
300,A. Abdul Razzak,MALE,NULL,NULL,178,70,IRQ,4,6,1960,Summer,Athletics,Athletics Men's Triple Jump,Not Registered
301,Mohamed Abdul Razzak,MALE,NULL,NULL,177,68,IRQ,4,6,1960,Summer,Athletics,Athletics Men's High Jump,Not Registered
302,Muhammad Abdul Razzaq,MALE,NULL,NULL,NULL,NULL,PAK,4,6,1948,Summer,Hockey,Hockey Men's Hockey,Not Registered
303,Hazim Abdul Ridha,MALE,NULL,NULL,160,52,IRQ,4,6,1980,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Not Registered
304,Rauf Abdul Seoud,MALE,21,18-25,NULL,NULL,EGY,4,6,1936,Summer,Diving,Diving Men's Platform,Not Registered
304,Rauf Abdul Seoud,MALE,33,Over 30,NULL,NULL,EGY,4,6,1948,Summer,Diving,Diving Men's Platform,Not Registered
305,Samir Ahmed Abdul Shakour,MALE,24,18-25,180,72,KSA,4,6,1984,Summer,Football,Football Men's Football,Not Registered
306,Nabil Abdul Tahlak,MALE,39,Over 30,NULL,NULL,UAE,4,6,1996,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Not Registered
307,Fahmi Ahmed Abdul Wahab Al-Tahri,MALE,23,18-25,NULL,NULL,YAR,4,6,1988,Summer,Athletics,Athletics Men's 800 metres,Not Registered
308,Mohamed Abdul Wahab Al-Salah,MALE,21,18-25,NULL,NULL,KUW,4,6,1980,Summer,Swimming,Swimming Men's 400 metres Freestyle,Not Registered
308,Mohamed Abdul Wahab Al-Salah,MALE,21,18-25,NULL,NULL,KUW,4,6,1980,Summer,Swimming,Swimming Men's 100 metres Butterfly,Not Registered
309,Qazi Abdul Waheed,MALE,30,25-30,NULL,NULL,PAK,4,6,1952,Summer,Hockey,Hockey Men's Hockey,Not Registered
310,Patmawati Abdul Wahid,Female,32,Over 30,158,58,INA,4,6,2004,Summer,Weightlifting,Weightlifting Women's Lightweight,Not Registered
311,Haidar Abdul-Amir Hassan,MALE,21,18-25,185,80,IRQ,4,6,2004,Summer,Football,Football Men's Football,Not Registered
312,Haidar Abdul-Razzaq Hassan,MALE,22,18-25,175,75,IRQ,4,6,2004,Summer,Football,Football Men's Football,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",MALE,21,18-25,172,66,NGR,4,6,1968,Summer,Athletics,Athletics Men's 100 metres,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",MALE,21,18-25,172,66,NGR,4,6,1968,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",MALE,25,18-25,172,66,NGR,4,6,1972,Summer,Athletics,Athletics Men's 100 metres,Not Registered
313,"Lawal Kolawole ""Kola"" Abdulai",MALE,25,18-25,172,66,NGR,4,6,1972,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
314,"Rukayatu ""Ruky"" Abdulai",Female,22,18-25,180,59,CAN,4,6,2008,Summer,Athletics,Athletics Women's Long Jump,Not Registered
315,Mona Ahmad Abdulaziz Hassanein,Female,26,25-30,166,61,EGY,4,6,2012,Summer,Fencing,"Fencing Women's epee, Individual",Not Registered
316,Zagalav Abdulbekovich Abdulbekov,MALE,26,25-30,160,62,URS,4,6,1972,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
317,Roosevelt M. Abdulgafur,MALE,24,18-25,181,73,PHI,4,6,1968,Summer,Swimming,Swimming Men's 100 metres Freestyle,Not Registered
317,Roosevelt M. Abdulgafur,MALE,24,18-25,181,73,PHI,4,6,1968,Summer,Swimming,Swimming Men's 200 metres Freestyle,Not Registered
317,Roosevelt M. Abdulgafur,MALE,24,18-25,181,73,PHI,4,6,1968,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Not Registered
317,Roosevelt M. Abdulgafur,MALE,24,18-25,181,73,PHI,4,6,1968,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Not Registered
317,Roosevelt M. Abdulgafur,MALE,24,18-25,181,73,PHI,4,6,1968,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Not Registered
318,Ahmed Abdulkareem Ahmed,MALE,20,18-25,NULL,NULL,IRQ,4,6,2012,Summer,Boxing,Boxing Men's Welterweight,Not Registered
319,Gamal Ahmed Abdulla,MALE,28,25-30,NULL,NULL,EGY,4,6,1992,Summer,Hockey,Hockey Men's Hockey,Not Registered
320,Mohamed Sayed Abdulla,MALE,18,18-25,NULL,NULL,EGY,4,6,1992,Summer,Hockey,Hockey Men's Hockey,Not Registered
321,Ahmad Hassan Abdullah,MALE,27,25-30,164,55,QAT,4,6,2008,Summer,Athletics,"Athletics Men's 10,000 metres",Not Registered
322,Ahmed Ghanim Abdullah,MALE,20,18-25,184,79,EGY,4,6,1988,Summer,Swimming,Swimming Men's 200 metres Butterfly,Not Registered
323,Aquil Hashim Abdullah (Shumate-),MALE,31,Over 30,187,83,USA,4,6,2004,Summer,Rowing,Rowing Men's Double Sculls,Not Registered
324,Atallah Abdullah,MALE,32,Over 30,NULL,88,IRQ,4,6,1992,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Not Registered
325,Magdy Ahmed Abdullah,MALE,25,18-25,NULL,NULL,EGY,4,6,1992,Summer,Hockey,Hockey Men's Hockey,Not Registered
326,Mohamed Abdullah,MALE,NULL,NULL,176,66,UAE,4,6,1988,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Not Registered
326,Mohamed Abdullah,MALE,NULL,NULL,176,66,UAE,4,6,1988,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Not Registered
326,Mohamed Abdullah,MALE,NULL,NULL,176,66,UAE,4,6,1988,Summer,Swimming,Swimming Men's 100 metres Backstroke,Not Registered
326,Mohamed Abdullah,MALE,NULL,NULL,176,66,UAE,4,6,1988,Summer,Swimming,Swimming Men's 200 metres Backstroke,Not Registered
326,Mohamed Abdullah,MALE,NULL,NULL,176,66,UAE,4,6,1988,Summer,Swimming,Swimming Men's 200 metres Individual Medley,Not Registered
326,Mohamed Abdullah,MALE,NULL,NULL,176,66,UAE,4,6,1988,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Not Registered
327,Mohamed Samy Abdullah,MALE,NULL,NULL,165,65,UAE,4,6,1984,Summer,Athletics,Athletics Men's 100 metres,Not Registered
328,Mohamed Abdullah,MALE,NULL,NULL,180,76,IRQ,4,6,1960,Summer,Athletics,Athletics Men's Pole Vault,Not Registered
329,Osama Abdullah,MALE,21,18-25,NULL,NULL,KUW,4,6,1992,Summer,Football,Football Men's Football,Not Registered
330,Tewfik Abdullah,MALE,23,18-25,NULL,NULL,EGY,4,6,1920,Summer,Football,Football Men's Football,Not Registered
331,Wan Azlan Abdullah,MALE,21,18-25,188,77,MAS,4,6,1996,Summer,Swimming,Swimming Men's 200 metres Individual Medley,Not Registered
331,Wan Azlan Abdullah,MALE,21,18-25,188,77,MAS,4,6,1996,Summer,Swimming,Swimming Men's 400 metres Individual Medley,Not Registered
331,Wan Azlan Abdullah,MALE,21,18-25,188,77,MAS,4,6,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Not Registered
331,Wan Azlan Abdullah,MALE,25,18-25,188,77,MAS,4,6,2000,Summer,Swimming,Swimming Men's 400 metres Individual Medley,Not Registered
332,Zarinah Abdullah,Female,21,18-25,NULL,NULL,SGP,4,6,1992,Summer,Badminton,Badminton Women's Singles,Not Registered
332,Zarinah Abdullah,Female,25,18-25,NULL,NULL,SGP,4,6,1996,Summer,Badminton,Badminton Women's Singles,Not Registered
333,Abdel Wahab Abdullah Salih,MALE,NULL,NULL,190,75,SUD,4,6,1968,Summer,Boxing,Boxing Men's Light-Middleweight,Not Registered
333,Abdel Wahab Abdullah Salih,MALE,NULL,NULL,190,75,SUD,4,6,1972,Summer,Boxing,Boxing Men's Middleweight,Not Registered
334,Abubakar Sadiq Abdullahi,MALE,28,25-30,NULL,NULL,NGR,4,6,1988,Summer,Tennis,Tennis Men's Singles,Not Registered
335,Abdulqdir Abdullayev,MALE,28,25-30,188,91,AZE,4,6,2016,Summer,Boxing,Boxing Men's Heavyweight,Not Registered
336,Arif Yadulla Abdullayev,MALE,27,25-30,164,60,AZE,4,6,1996,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Not Registered
336,Arif Yadulla Abdullayev,MALE,32,Over 30,164,60,AZE,4,6,2000,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Not Registered
337,Mukhammad Kadyr Abdullayev,MALE,22,18-25,169,63,UZB,4,6,1996,Summer,Boxing,Boxing Men's Lightweight,Not Registered
337,Mukhammad Kadyr Abdullayev,MALE,26,25-30,169,63,UZB,4,6,2000,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
338,Muminzhon Abdullayev,MALE,22,18-25,190,130,UZB,4,6,2012,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Not Registered
338,Muminzhon Abdullayev,MALE,26,25-30,190,130,UZB,4,6,2016,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Not Registered
339,Namiq Yadulla Abdullayev,MALE,25,18-25,167,55,AZE,4,6,1996,Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
339,Namiq Yadulla Abdullayev,MALE,29,25-30,167,55,AZE,4,6,2000,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
339,Namiq Yadulla Abdullayev,MALE,33,Over 30,167,55,AZE,4,6,2004,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Not Registered
340,Laye Abdullayeva,Female,21,18-25,170,47,AZE,4,6,2012,Summer,Athletics,"Athletics Women's 5,000 metres",Not Registered
